,date_effet_grille,ib,code_grade_NETNEH,echelon,max_mois,min_mois,moy_mois,libelle_FP,libelle_grade_NEG,code_grade_NEG,code_grade
7732,2014-01-02,388,TTH3,08,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7733,2014-01-02,417,TTH3,09,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7734,2014-01-02,430,TTH3,10,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7735,2014-01-02,447,TTH3,11,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7736,2014-01-02,459,TTH3,12,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7737,2015-01-01,348,TTH3,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7738,2015-01-01,349,TTH3,02,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7739,2015-01-01,351,TTH3,03,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7740,2015-01-01,354,TTH3,04,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7741,2015-01-01,356,TTH3,05,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7742,2015-01-01,366,TTH3,06,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7743,2015-01-01,375,TTH3,07,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7744,2015-01-01,396,TTH3,08,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7745,2015-01-01,423,TTH3,09,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7746,2015-01-01,437,TTH3,10,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7747,2015-01-01,454,TTH3,11,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7748,2015-01-01,465,TTH3,12,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7749,2006-01-11,343,TTH4,01,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7750,2006-01-11,360,TTH4,02,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7751,2006-01-11,375,TTH4,03,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7752,2006-01-11,394,TTH4,04,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7753,2006-01-11,422,TTH4,05,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7754,2006-01-11,449,TTH4,06,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7755,2006-01-11,479,TTH4,07,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7756,2006-01-11,499,TTH4,ES,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7757,2008-01-07,347,TTH4,01,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7758,2008-01-07,362,TTH4,02,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7759,2008-01-07,377,TTH4,03,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7760,2008-01-07,396,TTH4,04,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7761,2008-01-07,424,TTH4,05,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
